トレード番号,タイプ,日時,シグナル,価格 USDT,ポジションサイズ（数量）,ポジションサイズ（金額）,純損益 USDT,純損益 %,最大順行幅 USDT,最大順行幅 %,最大逆行幅 USDT,最大逆行幅 %,累積損益 USDT,累積損益 %
15,ロングエントリー,2023-01-14 07:00,Long,19812.5,1,19812.5,958.5,4.84,1719.5,8.68,-81.5,-0.41,-480.5,-0.05
16,ショート決済,2023-01-16 11:00,Long,21196,1,20771,-425,-2.05,191,0.92,-576.5,-2.78,-905.5,-0.09
16,ショートエントリー,2023-01-15 03:00,Short,20771,1,20771,-425,-2.05,191,0.92,-576.5,-2.78,-905.5,-0.09
17,ロング決済,2023-01-16 18:00,Short,20757.5,1,21196,-438.5,-2.07,256,1.21,-538,-2.54,-1344,-0.13
17,ロングエントリー,2023-01-16 11:00,Long,21196,1,21196,-438.5,-2.07,256,1.21,-538,-2.54,-1344,-0.13
18,ショート決済,2023-01-17 15:00,Long,21154,1,20757.5,-396.5,-1.91,137,0.66,-722.5,-3.48,-1740.5,-0.17
18,ショートエントリー,2023-01-16 18:00,Short,20757.5,1,20757.5,-396.5,-1.91,137,0.66,-722.5,-3.48,-1740.5,-0.17
19,ロング決済,2023-01-18 20:00,Short,21185.5,1,21154,31.5,0.15,466,2.20,-123.5,-0.58,-1709,-0.17
19,ロングエントリー,2023-01-17 15:00,Long,21154,1,21154,31.5,0.15,466,2.20,-123.5,-0.58,-1709,-0.17
20,ショート決済,2023-01-19 00:00,Long,21424,1,21185.5,-238.5,-1.13,9,0.04,-476,-2.25,-1947.5,-0.19
20,ショートエントリー,2023-01-18 20:00,Short,21185.5,1,21185.5,-238.5,-1.13,9,0.04,-476,-2.25,-1947.5,-0.19
21,ロング決済,2023-01-19 01:00,Short,21041.5,1,21424,-382.5,-1.79,142,0.66,-588,-2.74,-2330,-0.23
21,ロングエントリー,2023-01-19 00:00,Long,21424,1,21424,-382.5,-1.79,142,0.66,-588,-2.74,-2330,-0.23
22,ショート決済,2023-01-19 23:00,Long,20781.5,1,21041.5,260,1.24,633,3.01,-96.5,-0.46,-2070,-0.21
22,ショートエントリー,2023-01-19 01:00,Short,21041.5,1,21041.5,260,1.24,633,3.01,-96.5,-0.46,-2070,-0.21
23,ロング決済,2023-01-22 03:00,Short,23230,1,20781.5,2448.5,11.78,2583.5,12.43,-56.5,-0.27,378.5,0.04
23,ロングエントリー,2023-01-19 23:00,Long,20781.5,1,20781.5,2448.5,11.78,2583.5,12.43,-56.5,-0.27,378.5,0.04
24,ショート決済,2023-01-23 09:00,Long,22702.5,1,23230,527.5,2.27,950,4.09,-87,-0.37,906,0.09
24,ショートエントリー,2023-01-22 03:00,Short,23230,1,23230,527.5,2.27,950,4.09,-87,-0.37,906,0.09
25,ロング決済,2023-01-24 10:00,Short,22981.5,1,22702.5,279,1.23,482.5,2.13,-211.5,-0.93,1185,0.12
25,ロングエントリー,2023-01-23 09:00,Long,22702.5,1,22702.5,279,1.23,482.5,2.13,-211.5,-0.93,1185,0.12
26,ショート決済,2023-01-25 22:00,Long,22687.5,1,22981.5,294,1.28,653.5,2.84,-186,-0.81,1479,0.15
26,ショートエントリー,2023-01-24 10:00,Short,22981.5,1,22981.5,294,1.28,653.5,2.84,-186,-0.81,1479,0.15
27,ロング決済,2023-01-27 04:00,Short,23031.5,1,22687.5,344,1.52,1140.5,5.03,-359,-1.58,1823,0.18
27,ロングエントリー,2023-01-25 22:00,Long,22687.5,1,22687.5,344,1.52,1140.5,5.03,-359,-1.58,1823,0.18
28,ショート決済,2023-01-27 16:00,Long,22992.5,1,23031.5,39,0.17,513,2.23,-134.5,-0.58,1862,0.19
28,ショートエントリー,2023-01-27 04:00,Short,23031.5,1,23031.5,39,0.17,513,2.23,-134.5,-0.58,1862,0.19
29,ロング決済,2023-01-28 18:00,Short,22971.5,1,22992.5,-21,-0.09,505,2.20,-157,-0.68,1841,0.18
